Local time,Open,High,Low,Close,Volume
09.07.2020 00:00:00.000 GMT+0300,135.237,135.920,135.047,135.131,163149.6701
10.07.2020 00:00:00.000 GMT+0300,135.127,135.196,134.279,134.940,138276.6011
11.07.2020 00:00:00.000 GMT+0300,134.940,134.940,134.940,134.940,0
12.07.2020 00:00:00.000 GMT+0300,134.940,134.940,134.940,134.940,0
13.07.2020 00:00:00.000 GMT+0300,134.895,135.482,134.586,134.694,137835.8191
14.07.2020 00:00:00.000 GMT+0300,134.683,134.774,133.977,134.604,190286.3794
15.07.2020 00:00:00.000 GMT+0300,134.583,135.083,134.464,134.593,169431.24980000002
16.07.2020 00:00:00.000 GMT+0300,134.575,135.170,134.058,134.617,174908.70729999995
17.07.2020 00:00:00.000 GMT+0300,134.628,134.903,134.122,134.482,116206.8315
18.07.2020 00:00:00.000 GMT+0300,134.482,134.482,134.482,134.482,0
19.07.2020 00:00:00.000 GMT+0300,134.482,134.482,134.482,134.482,0
20.07.2020 00:00:00.000 GMT+0300,134.394,135.906,134.327,135.796,154191.0101
21.07.2020 00:00:00.000 GMT+0300,135.769,136.438,135.657,135.956,169753.45119999998
22.07.2020 00:00:00.000 GMT+0300,135.938,136.623,135.276,136.442,198194.61789999995
23.07.2020 00:00:00.000 GMT+0300,136.440,136.620,135.837,136.133,167052.0726
24.07.2020 00:00:00.000 GMT+0300,136.131,136.139,134.994,135.766,180968.92049999998
25.07.2020 00:00:00.000 GMT+0300,135.766,135.766,135.766,135.766,0
26.07.2020 00:00:00.000 GMT+0300,135.766,135.766,135.766,135.766,0
27.07.2020 00:00:00.000 GMT+0300,135.622,135.825,135.140,135.721,200090.49870000003
28.07.2020 00:00:00.000 GMT+0300,135.708,136.126,135.318,135.892,183337.02880000003
29.07.2020 00:00:00.000 GMT+0300,135.884,136.466,135.673,136.345,179353.7084
30.07.2020 00:00:00.000 GMT+0300,136.344,137.385,136.071,137.143,199736.8607
31.07.2020 00:00:00.000 GMT+0300,137.143,139.197,136.785,138.481,244846.88949999996
01.08.2020 00:00:00.000 GMT+0300,138.481,138.481,138.481,138.481,0
02.08.2020 00:00:00.000 GMT+0300,138.481,138.481,138.481,138.481,0
03.08.2020 00:00:00.000 GMT+0300,138.313,139.021,137.745,138.516,244829.88090000002
04.08.2020 00:00:00.000 GMT+0300,138.516,138.879,137.802,138.182,174730.0291
05.08.2020 00:00:00.000 GMT+0300,138.181,138.999,137.886,138.474,175959.0593
06.08.2020 00:00:00.000 GMT+0300,138.490,139.234,138.434,138.713,202302.4918
07.08.2020 00:00:00.000 GMT+0300,138.698,138.756,137.842,138.233,195544.2216
08.08.2020 00:00:00.000 GMT+0300,138.233,138.233,138.233,138.233,0
09.08.2020 00:00:00.000 GMT+0300,138.233,138.233,138.233,138.233,0
10.08.2020 00:00:00.000 GMT+0300,138.224,138.644,138.044,138.508,144038.86
11.08.2020 00:00:00.000 GMT+0300,138.486,139.494,138.368,138.936,185093.13960000002
12.08.2020 00:00:00.000 GMT+0300,138.951,139.616,138.873,139.325,245396.5382
13.08.2020 00:00:00.000 GMT+0300,139.315,140.205,139.216,139.708,168204.5599
14.08.2020 00:00:00.000 GMT+0300,139.686,140.009,139.338,139.482,144643.2404
15.08.2020 00:00:00.000 GMT+0300,139.482,139.482,139.482,139.482,0
16.08.2020 00:00:00.000 GMT+0300,139.482,139.482,139.482,139.482,0
17.08.2020 00:00:00.000 GMT+0300,139.489,139.683,138.731,138.895,148634.04020000002
18.08.2020 00:00:00.000 GMT+0300,138.873,139.636,138.593,139.537,180394.15080000003
19.08.2020 00:00:00.000 GMT+0300,139.517,139.953,138.790,138.967,213191.97109999997
20.08.2020 00:00:00.000 GMT+0300,138.913,139.869,138.563,139.790,223705.2988
21.08.2020 00:00:00.000 GMT+0300,139.797,139.942,138.247,138.465,215527.20909999998
22.08.2020 00:00:00.000 GMT+0300,138.465,138.465,138.465,138.465,0
23.08.2020 00:00:00.000 GMT+0300,138.465,138.465,138.465,138.465,0
24.08.2020 00:00:00.000 GMT+0300,138.357,139.000,138.286,138.423,146275.03879999998
25.08.2020 00:00:00.000 GMT+0300,138.398,140.027,138.372,139.895,163597.07080000004
26.08.2020 00:00:00.000 GMT+0300,139.874,140.297,139.629,139.994,142784.9613
27.08.2020 00:00:00.000 GMT+0300,139.989,140.854,139.692,140.642,362768.04139999993
28.08.2020 00:00:00.000 GMT+0300,140.654,141.612,140.010,140.619,227343.89190000002
29.08.2020 00:00:00.000 GMT+0300,140.619,140.619,140.619,140.619,0
30.08.2020 00:00:00.000 GMT+0300,140.619,140.619,140.619,140.619,0
31.08.2020 00:00:00.000 GMT+0300,140.611,142.036,140.495,141.575,218373.01179999995
01.09.2020 00:00:00.000 GMT+0300,141.553,142.712,141.328,141.787,190840.46100000004
02.09.2020 00:00:00.000 GMT+0300,141.789,141.968,141.015,141.757,169088.80000000002
03.09.2020 00:00:00.000 GMT+0300,141.763,141.874,140.473,141.008,190886.3905
04.09.2020 00:00:00.000 GMT+0300,141.010,141.432,140.112,141.060,188178.5193
05.09.2020 00:00:00.000 GMT+0300,141.060,141.060,141.060,141.060,0
06.09.2020 00:00:00.000 GMT+0300,141.060,141.060,141.060,141.060,0
07.09.2020 00:00:00.000 GMT+0300,140.811,140.994,139.592,139.847,115961.33980000002
08.09.2020 00:00:00.000 GMT+0300,139.864,139.975,137.609,137.614,173488.89089999997
09.09.2020 00:00:00.000 GMT+0300,137.622,138.356,136.734,138.033,183763.65170000002
10.09.2020 00:00:00.000 GMT+0300,137.897,138.353,135.567,135.885,198224.5007
11.09.2020 00:00:00.000 GMT+0300,135.883,136.591,135.569,135.798,166394.05880000003
12.09.2020 00:00:00.000 GMT+0300,135.798,135.798,135.798,135.798,0
13.09.2020 00:00:00.000 GMT+0300,135.798,135.798,135.798,135.798,0
14.09.2020 00:00:00.000 GMT+0300,135.564,136.584,135.502,135.808,127279.89960000002
15.09.2020 00:00:00.000 GMT+0300,135.802,136.432,135.411,135.885,152015.85040000002
16.09.2020 00:00:00.000 GMT+0300,135.884,136.464,135.553,136.083,176697.9602
17.09.2020 00:00:00.000 GMT+0300,136.090,136.215,134.565,135.864,201597.8595
18.09.2020 00:00:00.000 GMT+0300,135.865,136.156,134.948,135.030,150789.8293
19.09.2020 00:00:00.000 GMT+0300,135.030,135.030,135.030,135.030,0
20.09.2020 00:00:00.000 GMT+0300,135.030,135.030,135.030,135.030,0
21.09.2020 00:00:00.000 GMT+0300,135.063,135.326,133.536,134.103,178229.3916
22.09.2020 00:00:00.000 GMT+0300,134.109,134.382,133.035,133.566,163649.3008
23.09.2020 00:00:00.000 GMT+0300,133.566,134.615,133.137,134.066,183825.7393
24.09.2020 00:00:00.000 GMT+0300,134.069,134.665,133.603,134.255,179653.90029999998
25.09.2020 00:00:00.000 GMT+0300,134.155,134.821,133.825,134.517,154648.37010000003
26.09.2020 00:00:00.000 GMT+0300,134.517,134.517,134.517,134.517,0
27.09.2020 00:00:00.000 GMT+0300,134.517,134.517,134.517,134.517,0
28.09.2020 00:00:00.000 GMT+0300,134.598,136.228,134.358,135.338,142547.4405
29.09.2020 00:00:00.000 GMT+0300,135.343,136.252,135.343,135.838,150346.9026
30.09.2020 00:00:00.000 GMT+0300,135.807,136.541,135.174,136.186,185070.92049999998
01.10.2020 00:00:00.000 GMT+0300,136.205,137.005,135.357,135.977,178354.57910000003
02.10.2020 00:00:00.000 GMT+0300,135.874,136.386,135.047,136.131,205182.23200000002
03.10.2020 00:00:00.000 GMT+0300,136.131,136.131,136.131,136.131,0
04.10.2020 00:00:00.000 GMT+0300,136.131,136.131,136.131,136.131,0
05.10.2020 00:00:00.000 GMT+0300,136.091,137.343,135.925,137.239,131696.87970000002
06.10.2020 00:00:00.000 GMT+0300,137.221,137.443,135.931,135.945,161966.73960000003
07.10.2020 00:00:00.000 GMT+0300,135.918,136.991,135.891,136.843,151825.9702
08.10.2020 00:00:00.000 GMT+0300,136.827,137.402,136.676,137.151,130356.74010000001
09.10.2020 00:00:00.000 GMT+0300,137.148,137.824,136.782,137.734,142115.5994
10.10.2020 00:00:00.000 GMT+0300,137.734,137.734,137.734,137.734,0
11.10.2020 00:00:00.000 GMT+0300,137.734,137.734,137.734,137.734,0
12.10.2020 00:00:00.000 GMT+0300,137.766,137.812,137.217,137.579,123993.6096
13.10.2020 00:00:00.000 GMT+0300,137.617,137.771,136.369,136.428,163382.7207
14.10.2020 00:00:00.000 GMT+0300,136.429,137.329,135.660,136.833,154784.00829999996
15.10.2020 00:00:00.000 GMT+0300,136.824,137.167,135.765,136.082,174426.16839999997
16.10.2020 00:00:00.000 GMT+0300,135.994,136.413,135.374,136.096,162689.5091
17.10.2020 00:00:00.000 GMT+0300,136.096,136.096,136.096,136.096,0
18.10.2020 00:00:00.000 GMT+0300,136.096,136.096,136.096,136.096,0
19.10.2020 00:00:00.000 GMT+0300,135.883,137.245,135.883,136.464,149014.90980000002
20.10.2020 00:00:00.000 GMT+0300,136.464,137.029,136.327,136.601,143833.0202
21.10.2020 00:00:00.000 GMT+0300,136.602,137.663,136.435,137.463,176800.59090000004
22.10.2020 00:00:00.000 GMT+0300,137.469,137.585,136.963,137.133,162660.03859999997
23.10.2020 00:00:00.000 GMT+0300,137.095,137.343,136.361,136.527,153699.2103
24.10.2020 00:00:00.000 GMT+0300,136.527,136.527,136.527,136.527,0
25.10.2020 00:00:00.000 GMT+0300,136.527,136.527,136.527,136.527,0
25.10.2020 23:00:00.000 GMT+0200,136.682,137.064,136.295,136.518,153420.7205
26.10.2020 23:00:00.000 GMT+0200,136.522,136.585,136.148,136.214,125873.00020000001
